timestring,pH,Temperature,PAR,LightOut,Actuators
date,,°C,µmol/m²/s,%,
26.04.2024 15:04:27.572,7.37,23.2,1126,50,7
26.04.2024 15:04:28.739,7.38,23.2,1039,50,7
26.04.2024 15:04:29.871,7.37,23.2,959,50,7
26.04.2024 15:04:31.880,7.37,23.2,899,50,7
26.04.2024 15:04:32.437,7.38,23.2,865,50,7
26.04.2024 15:04:34.105,7.38,23.2,844,50,7
26.04.2024 15:04:36.380,7.38,23.2,822,50,7
26.04.2024 15:04:38.187,7.38,23.2,877,50,7
26.04.2024 15:04:39.388,7.38,23.2,977,50,7
26.04.2024 15:04:40.453,7.38,23.2,1087,50,7
26.04.2024 15:04:41.638,7.38,23.2,1162,50,7
26.04.2024 15:04:44.105,7.39,23.2,1118,50,7
26.04.2024 15:04:45.404,7.39,23.2,1056,50,7
26.04.2024 15:04:46.637,7.39,23.2,953,50,7
26.04.2024 15:04:47.755,7.39,23.2,857,50,7
26.04.2024 15:04:49.300,7.37,23.2,821,50,7
26.04.2024 15:04:50.970,7.37,23.2,792,50,7
26.04.2024 15:04:52.569,7.39,23.2,760,50,7
26.04.2024 15:05:00.352,7.39,23.2,738,50,7
26.04.2024 15:05:03.403,7.38,23.2,763,50,7
26.04.2024 15:05:05.137,7.39,23.3,789,50,7
26.04.2024 15:05:06.736,7.39,23.2,829,50,7
26.04.2024 15:05:08.380,7.38,23.2,882,50,7
26.04.2024 15:05:09.269,7.38,23.2,949,50,7
26.04.2024 15:05:10.453,7.39,23.3,1031,50,7
26.04.2024 15:05:11.619,7.38,23.2,1130,50,7
26.04.2024 15:05:12.736,7.38,23.2,1212,50,7
26.04.2024 15:05:14.360,7.39,23.2,1231,50,7
26.04.2024 15:05:16.869,7.40,23.3,1278,50,7
26.04.2024 15:05:18.253,7.38,23.2,1305,50,7
26.04.2024 15:05:20.253,7.40,23.3,1344,50,7
26.04.2024 15:05:21.552,7.39,23.2,1397,50,7
26.04.2024 15:05:22.885,7.39,23.2,1434,50,7
26.04.2024 15:05:24.470,7.39,23.2,1462,50,7
26.04.2024 15:05:27.401,7.39,23.3,1447,50,7
26.04.2024 15:05:31.453,7.39,23.2,1390,50,7
26.04.2024 15:05:32.736,7.39,23.2,1328,50,7
26.04.2024 15:05:33.920,7.39,23.2,1286,50,7
26.04.2024 15:05:35.354,7.39,23.2,1259,50,7
26.04.2024 15:05:36.969,7.39,23.2,1291,50,7
26.04.2024 15:05:39.418,7.40,23.3,1244,50,7
26.04.2024 15:05:42.269,7.40,23.3,1316,50,7
26.04.2024 15:05:43.417,7.39,23.2,1388,50,7
26.04.2024 15:05:44.569,7.40,23.2,1444,50,7
26.04.2024 15:05:45.953,7.40,23.3,1488,50,7
26.04.2024 15:05:48.319,7.39,23.2,1403,50,7
26.04.2024 15:05:49.368,7.40,23.3,1247,50,7
26.04.2024 15:05:50.434,7.39,23.2,1094,50,7
26.04.2024 15:05:51.585,7.40,23.2,995,50,7
26.04.2024 15:05:54.118,7.39,23.2,1084,50,7
26.04.2024 15:05:55.233,7.40,23.2,1164,50,7
26.04.2024 15:05:56.384,7.40,23.3,1250,50,7
26.04.2024 15:05:57.502,7.41,23.3,1273,50,7
26.04.2024 15:05:58.819,7.40,23.3,1209,50,7
26.04.2024 15:06:01.200,7.40,23.3,1244,50,7
26.04.2024 15:06:02.868,7.41,23.3,1207,50,7
26.04.2024 15:06:04.601,7.40,23.3,1257,50,7
26.04.2024 15:06:05.884,7.41,23.3,1314,50,7
26.04.2024 15:06:08.700,7.40,23.3,1251,50,7
26.04.2024 15:06:10.101,7.40,23.3,1229,50,7
26.04.2024 15:06:12.000,7.40,23.3,1301,50,7
26.04.2024 15:06:13.117,7.41,23.3,1383,50,7
26.04.2024 15:06:14.851,7.41,23.3,1278,50,7
26.04.2024 15:06:15.950,7.41,23.3,1166,50,7
26.04.2024 15:06:17.117,7.41,23.3,1074,50,7
26.04.2024 15:06:18.266,7.41,23.3,1042,50,7
26.04.2024 15:06:20.490,7.41,23.3,1076,50,7
26.04.2024 15:06:21.683,7.41,23.4,1037,50,7
26.04.2024 15:06:24.584,7.40,23.3,1137,50,7
26.04.2024 15:06:25.667,7.41,23.3,1177,50,7
26.04.2024 15:06:26.950,7.41,23.4,1088,50,7
26.04.2024 15:06:28.101,7.41,23.4,1038,50,7
26.04.2024 15:06:29.516,7.41,23.4,984,50,7
26.04.2024 15:06:30.867,7.40,23.3,950,50,7
26.04.2024 15:06:32.816,7.41,23.3,923,50,7
26.04.2024 15:06:35.717,7.40,23.4,871,50,7
26.04.2024 15:06:38.915,7.41,23.3,935,50,7
26.04.2024 15:06:40.840,7.41,23.4,1021,50,7
26.04.2024 15:06:41.282,7.40,23.4,1057,50,7
26.04.2024 15:06:43.233,7.41,23.5,1001,50,7
26.04.2024 15:06:44.483,7.41,23.5,972,50,7
26.04.2024 15:06:45.950,7.40,23.5,1066,50,7
26.04.2024 15:06:47.160,7.40,23.5,1170,50,7
26.04.2024 15:06:48.148,7.40,23.5,1234,50,7
26.04.2024 15:06:50.132,7.40,23.5,1155,50,7
26.04.2024 15:06:51.282,7.40,23.5,1086,50,7
26.04.2024 15:06:52.499,7.41,23.5,1049,50,7
26.04.2024 15:06:54.632,7.41,23.5,1082,50,7
26.04.2024 15:06:57.820,7.41,23.5,1130,50,7
26.04.2024 15:06:59.615,7.41,23.5,1088,50,7
26.04.2024 15:07:00.966,7.40,23.5,1050,50,7
26.04.2024 15:07:03.516,7.41,23.5,1100,50,7
26.04.2024 15:07:05.820,7.41,23.5,1115,50,7
26.04.2024 15:07:08.480,7.42,23.5,1143,50,7
26.04.2024 15:07:09.398,7.41,23.5,1203,50,7
26.04.2024 15:07:10.749,7.41,23.5,1264,50,7
26.04.2024 15:07:11.915,7.42,23.5,1344,50,7
26.04.2024 15:07:13.490,7.42,23.5,1431,50,7
26.04.2024 15:07:15.532,7.41,23.5,1369,50,7
26.04.2024 15:07:16.765,7.41,23.5,1333,50,7
26.04.2024 15:07:18.650,7.41,23.5,1282,50,7
26.04.2024 15:07:19.265,7.41,23.5,1176,50,7
26.04.2024 15:07:20.365,7.42,23.5,1027,50,7
26.04.2024 15:07:21.447,7.41,23.5,886,50,7
26.04.2024 15:07:22.565,7.41,23.5,778,50,7
26.04.2024 15:07:23.747,7.42,23.5,718,50,7
26.04.2024 15:07:25.300,7.41,23.5,691,50,7
26.04.2024 15:07:27.598,7.42,23.5,721,50,7
26.04.2024 15:07:29.530,7.42,23.5,735,50,7
26.04.2024 15:07:32.230,7.42,23.5,710,50,7
26.04.2024 15:07:33.831,7.42,23.5,680,50,7
